stamp,postal agency,date,department,starred hour,collection,stamp type,quality,manual,year,month,day,img_name,dep_name,town_name
FI-0970-0020_cls1_0,BUZANCY,1905-09-16TXX:XX,ARDENNES,False,5E,date stamp,mediocre,True,1905.0,9.0,16.0,FI-0970-0020,Ardennes,Buzancy
FI-0970-0041_cls1_0,PAU,1905-05-30TXX:XX,BASSES-PYR,True,,date stamp,mediocre,False,1905.0,5.0,30.0,FI-0970-0041,Pyrénées-Atlantiques,
FI-0970-0053_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0053,,
FI-0970-0064_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0064,,
FI-0970-0077_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0077,,
FI-0970-0032_cls1_0,VOUZIERS,1906-11-16T13:40,ARDENNES,False,,date stamp,good,True,1906.0,11.0,16.0,FI-0970-0032,Ardennes,Vouziers
FI-0970-0077_cls1_1,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0077,,
FI-0970-0080_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0080,,
FI-0970-0085_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0085,,
FI-0970-0088_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0088,,
FI-0970-0042_cls1_0,DOLMANCHE,1906-09-16T22:XX,MARNE,False,,date stamp,mediocre,False,1906.0,9.0,16.0,FI-0970-0042,,
FI-0970-0089_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0089,,
FI-0970-0090_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0090,,
FI-0970-0056_cls1_0,,1914-XX-XXT21:XX,ARDENNES,True,,date stamp,poor,True,1914.0,,,FI-0970-0056,,
FI-0970-0091_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0091,,
FI-0970-0092_cls1_0,,XXXX-XX-XXT18:20,,False,,date stamp,poor,False,,,,FI-0970-0092,,
FI-0970-0058_cls1_0,VAREY,1913-07-29T11:55,ARDENNES,False,,date stamp,mediocre,False,1913.0,7.0,29.0,FI-0970-0058,,
FI-0970-0096_cls1_0,,XXXX-XX-XXTXX:X0,,False,,date stamp,poor,True,,,,FI-0970-0096,,
FI-0970-0067_cls1_0,MEZIERES-CHARLEVILLE,1910-04-30T19:10,ARDENNES,False,,date stamp,mediocre,True,1910.0,4.0,30.0,FI-0970-0067,,
FI-0970-0096_cls1_1,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0096,,
FI-0970-0101_cls1_0,,XXXX-XX-XXTXX:XX,,False,,conveyor line stamp,poor,False,,,,FI-0970-0101,,
FI-0970-0068_cls1_0,,190X-09-12TXX:XX,MARNE,False,17E,date stamp,mediocre,True,,9.0,12.0,FI-0970-0068,,
FI-0970-0102_cls1_0,STAINS,1908-08-06TXX:XX,SEINE ET OISE,False,,date stamp,mediocre,False,1908.0,8.0,6.0,FI-0970-0102,Seine-Saint-Denis,
FI-0970-0070_cls1_0,AMBONNAY,1924-09-27T07:45,MARNE,False,,date stamp,mediocre,True,1924.0,9.0,27.0,FI-0970-0070,Marne,Ambonnay
FI-0970-0106_cls1_0,,XXXX-XX-XXTXX:XX,,False,,conveyor line stamp,poor,False,,,,FI-0970-0106,,
FI-0970-0107_cls1_0,LAON A REIMS,XXXX-09-10TXX:XX,,False,,conveyor line stamp,mediocre,True,,9.0,10.0,FI-0970-0107,,
FI-0970-0108_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0108,,
FI-0970-0078_cls1_0,FISMES,XXXX-07-XXT16:05,MARNE,False,,date stamp,mediocre,True,,7.0,,FI-0970-0078,Marne,Fismes
FI-0970-0112_cls1_0,,1907-11-15TXX:XX,,False,,date stamp,poor,False,1907.0,11.0,15.0,FI-0970-0112,,
FI-0970-0082_cls1_0,,1905-09-X5TXX:XX,MARNE,False,,date stamp,mediocre,True,1905.0,9.0,,FI-0970-0082,,
FI-0970-0116_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0116,,
FI-0970-0117_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0117,,
FI-0970-0084_cls1_0,BEAUMONT-S-VESLE,1907-XX-19T21:XX,MARNE,True,,date stamp,good,True,1907.0,,19.0,FI-0970-0084,Marne,Beaumont-sur-Vesle
FI-0970-0084_cls1_1,BEAUMONT-S-VESLE,1907-XX-19T21:XX,MARNE,True,,date stamp,mediocre,True,1907.0,,19.0,FI-0970-0084,Marne,Beaumont-sur-Vesle
FI-0970-0125_cls1_0,,1907-08-15TXX:XX,,False,,date stamp,poor,False,1907.0,8.0,15.0,FI-0970-0125,,
FI-0970-0125_cls1_1,,XXX7-XX-XXTXX:XX,,False,,date stamp,poor,True,,,,FI-0970-0125,,
FI-0970-0086_cls1_0,CHALONS S/ MARNE,1910-02-06T14:10,MARNE,False,,date stamp,mediocre,False,1910.0,2.0,6.0,FI-0970-0086,Marne,Châtillon-sur-Marne
FI-0970-0125_cls1_2,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0125,,
FI-0970-0125_cls1_3,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0125,,
FI-0970-0126_cls1_0,,XXXX-XX-XXTXX:XX,,False,26,date stamp,poor,False,,,,FI-0970-0126,,
FI-0970-0131_cls1_0,S-MARNE,XXXX-XX-03TXX:XX,,False,,conveyor line stamp,poor,True,,,3.0,FI-0970-0131,Loire-Atlantique,
FI-0970-0132_cls1_0,PARIS-38,1908-06-05TXX:XX,SEINE,False,,date stamp,poor,False,1908.0,6.0,5.0,FI-0970-0132,Paris,
FI-0970-0137_cls1_0,,XXXX-XX-XXTXX:XX,,False,5E,date stamp,poor,False,,,,FI-0970-0137,,
FI-0970-0093_cls1_0,,1905-03-12T06:25,MARNE,False,,date stamp,mediocre,False,1905.0,3.0,12.0,FI-0970-0093,,
FI-0970-0139_cls1_0,,XXXX-XX-10T16:XX,,True,,date stamp,mediocre,False,,,10.0,FI-0970-0139,,
FI-0970-0140_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0140,,
FI-0970-0141_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0141,,
FI-0970-0142_cls1_0,PARIS A GIVET,XXX7-XX-XXTXX:XX,,False,2°,conveyor line stamp,poor,True,,,,FI-0970-0142,,
FI-0970-0152_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0152,,
FI-0970-0101_cls1_1,THORIGNY S/ MARNE,1928-04-25T05:50,SEINE ET MARNE,False,,date stamp,mediocre,True,1928.0,4.0,25.0,FI-0970-0101,Seine-et-Marne,Thorigny-sur-Marne
FI-0970-0154_cls1_0,,XXXX-XX-XXT3X:2X,,False,,date stamp,poor,False,,,,FI-0970-0154,,
FI-0970-0155_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0155,,
FI-0970-0161_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0161,,
FI-0970-0165_cls1_0,,190X-12-18T21:55,,False,,date stamp,poor,False,,12.0,18.0,FI-0970-0165,,
FI-0970-0113_cls1_0,,1920-06-11TXX:XX,MARNE,False,,date stamp,mediocre,False,1920.0,6.0,11.0,FI-0970-0113,,
FI-0970-0165_cls1_1,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0165,,
FI-0970-0167_cls1_0,,1929-10-03TX7:XX,,True,,date stamp,mediocre,True,1929.0,10.0,3.0,FI-0970-0167,,
FI-0970-0172_cls1_0,,XXXX-XX-25TXX:XX,,False,,date stamp,poor,False,,,25.0,FI-0970-0172,,
FI-0970-0181_cls1_0,ST-PAUL,XXXX-09-22TXX:XX,,False,5E,date stamp,mediocre,False,,9.0,22.0,FI-0970-0181,Vosges,
FI-0970-0118_cls1_0,CONTREXEVILLE,1908-08-24TXX:XX,VOSGES,False,,date stamp,mediocre,False,1908.0,8.0,24.0,FI-0970-0118,Vosges,Contrexéville
FI-0970-0185_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0185,,
FI-0970-0188_cls1_0,,1915-07-14TXX:XX,,False,1E,date stamp,poor,False,1915.0,7.0,14.0,FI-0970-0188,,
FI-0970-0188_cls1_1,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0188,,
FI-0970-0190_cls1_0,,1907-03-08TXX:XX,,True,,date stamp,mediocre,False,1907.0,3.0,8.0,FI-0970-0190,,
FI-0970-0207_cls1_0,,XXXX-02-16TXX:XX,,False,7E,date stamp,poor,False,,2.0,16.0,FI-0970-0207,,
FI-0970-0130_cls1_0,,1908-11-15TXX:XX,MARNE,False,,date stamp,poor,False,1908.0,11.0,15.0,FI-0970-0130,,
FI-0970-0208_cls1_1,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0208,,
FI-0970-0208_cls1_2,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0208,,
FI-0970-0211_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0211,,
FI-0970-0213_cls1_0,,XXXX-08-10TXX:XX,,False,,date stamp,poor,False,,8.0,10.0,FI-0970-0213,,
FI-0970-0133_cls1_0,DOMMANGE,1907-07-09T19:20,MARNE,False,,date stamp,mediocre,True,1907.0,7.0,9.0,FI-0970-0133,,
FI-0970-0134_cls1_0,CHAMPAGNE-S-MARNE,1908-10-08TXX:XX,MARNE,True,,date stamp,mediocre,False,1908.0,10.0,8.0,FI-0970-0134,,
FI-0970-0215_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0215,,
FI-0970-0219_cls1_0,PARIS,1908-07-20T20:15,SEINE,False,,date stamp,mediocre,False,1908.0,7.0,20.0,FI-0970-0219,Paris,
FI-0970-0225_cls1_0,,XXXX-XX-XXTXX:XX,,True,,conveyor line stamp,poor,True,,,,FI-0970-0225,,
FI-0970-0138_cls1_0,,1931-05-XXTXX:XX,VOSGES,False,,date stamp,poor,False,1931.0,5.0,,FI-0970-0138,,
FI-0970-0138_cls1_1,,XXXX-XX-11TXX:XX,VOSGES,False,,date stamp,poor,False,,,11.0,FI-0970-0138,,
FI-0970-0229_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0229,,
FI-0970-0254_cls1_0,VESOUL A NANCY,1906-05-21TXX:XX,,False,,conveyor line stamp,good,True,1906.0,5.0,21.0,FI-0970-0254,,
FI-0970-0280_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0280,,
FI-0970-0286_cls1_0,,1907-06-03T16:40,MTHE ET MLLE,False,,date stamp,mediocre,True,1907.0,6.0,3.0,FI-0970-0286,,
FI-0970-0288_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0288,,
FI-0970-0290_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0290,,
FI-0970-0144_cls1_0,BARBONNE FAYEL,1912-03-08T10:10,MARNE,False,,date stamp,good,False,1912.0,3.0,8.0,FI-0970-0144,Marne,Barbonne-Fayel
FI-0970-0145_cls1_0,,1905-07-12TXX:XX,MORBIHAN,False,,date stamp,mediocre,False,1905.0,7.0,12.0,FI-0970-0145,,
FI-0970-0297_cls1_0,,1907-08-15TXX:XX,,False,,date stamp,mediocre,False,1907.0,8.0,15.0,FI-0970-0297,,
FI-0970-0303_cls1_0,,XXXX-04-25TXX:XX,,False,,date stamp,poor,False,,4.0,25.0,FI-0970-0303,,
FI-0970-0146_cls1_0,CHAMPENOISE,XXX9-10-XXT14:05,MARNE,False,,date stamp,poor,True,,10.0,,FI-0970-0146,,
FI-0970-0146_cls1_1,FERE-CHAMPENOISE,1909-10-XXT14:05,MARNE,False,,date stamp,mediocre,True,1909.0,10.0,,FI-0970-0146,Marne,Fère-Champenoise
FI-0970-0317_cls1_0,,XXXX-06-20TXX:XX,,False,,date stamp,poor,False,,6.0,20.0,FI-0970-0317,,
FI-0970-0318_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0318,,
FI-0970-0147_cls1_0,AVIZE,1909-02-10TXX:50,MARNE,False,,date stamp,mediocre,True,1909.0,2.0,10.0,FI-0970-0147,Marne,Avize
FI-0970-0151_cls1_0,BLESMES,1903-10-25TXX:XX,MARNE,False,1E,date stamp,mediocre,True,1903.0,10.0,25.0,FI-0970-0151,,
FI-0970-0319_cls1_0,CHALINDREY,XXXX-07-31T13:XX,H. MARNE,True,,date stamp,mediocre,False,,7.0,31.0,FI-0970-0319,Haute-Marne,
FI-0970-0322_cls1_0,FECAMP,1906-11-11T11:55,SEINE-INFRE,False,,date stamp,mediocre,True,1906.0,11.0,11.0,FI-0970-0322,Seine-Maritime,
FI-0970-0338_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0338,,
FI-0970-0488_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0488,,
FI-0970-0158_cls1_0,SUIPPES,XXXX-09-08T19:XX,MARNE,False,,date stamp,mediocre,True,,9.0,8.0,FI-0970-0158,Marne,Suippes
FI-0970-0545_cls1_0,GERBEVILLER,XXXX-XX-XXTXX:XX,MTHE ET MLLE,False,,date stamp,poor,True,,,,FI-0970-0545,Meurthe-et-Moselle,
FI-0970-0160_cls1_0,,XXXX-XX-13TXX:33,MARNE,False,,date stamp,poor,False,,,13.0,FI-0970-0160,,
FI-0970-0560_cls1_1,,XXXX-XX-07T21:XX,,True,,date stamp,poor,False,,,7.0,FI-0970-0560,,
FI-0970-0561_cls1_0,NANCY,1908-08-19T18:10,MTHE ET MLLE,False,,date stamp,mediocre,True,1908.0,8.0,19.0,FI-0970-0561,Meurthe-et-Moselle,
FI-0970-0564_cls1_0,,1908-10-05T09:45,MTHE ET MLLE,False,,date stamp,mediocre,False,1908.0,10.0,5.0,FI-0970-0564,,
FI-0970-0163_cls1_0,VOUZIERS,1909-04-15T07:XX,MARNE,False,5E,date stamp,mediocre,False,1909.0,4.0,15.0,FI-0970-0163,,
FI-0970-0565_cls1_0,NANCY,1906-04-21T12:55,MTHE ET MLLE,False,,date stamp,mediocre,True,1906.0,4.0,21.0,FI-0970-0565,Meurthe-et-Moselle,
FI-0970-0568_cls1_0,NANCY-GARE,1904-07-14T09:10,MTHE ET MLLE,False,,date stamp,good,True,1904.0,7.0,14.0,FI-0970-0568,Meurthe-et-Moselle,
FI-0970-0570_cls1_0,NANCY,1908-05-05T18:55,MTHE ET MLLE,False,,date stamp,mediocre,False,1908.0,5.0,5.0,FI-0970-0570,Meurthe-et-Moselle,
FI-0970-0169_cls1_0,EPERNAY,1906-10-10T19:30,MARNE,False,,date stamp,good,True,1906.0,10.0,10.0,FI-0970-0169,Marne,Épernay
FI-0970-0574_cls1_0,PARIS 67,1915-08-22TXX:XX,S. ET O.,False,5E,date stamp,mediocre,False,1915.0,8.0,22.0,FI-0970-0574,Paris,
FI-0970-0173_cls1_0,CHALONS S/ MARNE,1908-07-23T11:XX,MARNE,True,,date stamp,mediocre,False,1908.0,7.0,23.0,FI-0970-0173,Marne,Châtillon-sur-Marne
FI-0970-0578_cls1_0,NANCY-GARE,XXXX-XX-XXT22:35,MTHE ET MLLE,False,,date stamp,poor,True,,,,FI-0970-0578,Meurthe-et-Moselle,
FI-0970-0174_cls1_0,REIMS,1906-07-20T18:20,MARNE,False,,date stamp,good,True,1906.0,7.0,20.0,FI-0970-0174,Marne,Reims
FI-0970-0175_cls1_0,,XXXX-08-20TXX:XX,AUBE,False,,date stamp,poor,False,,8.0,20.0,FI-0970-0175,,
FI-0970-0580_cls1_0,,1910-XX-X7TXX:20,,False,,date stamp,poor,True,1910.0,,,FI-0970-0580,,
FI-0970-0581_cls1_0,,1920-08-25TXX:XX,,False,7E,date stamp,poor,False,1920.0,8.0,25.0,FI-0970-0581,,
FI-0970-0582_cls1_0,NANCY GARE,1905-10-11TXX:XX,MTHE ET MLLE,False,11E,date stamp,mediocre,False,1905.0,10.0,11.0,FI-0970-0582,Meurthe-et-Moselle,
FI-0970-0583_cls1_0,NANCY,1906-02-04T21:20,MTHE-ET-MLLE,False,,date stamp,mediocre,True,1906.0,2.0,4.0,FI-0970-0583,Meurthe-et-Moselle,
FI-0970-0588_cls1_0,NANCY GARE,1907-03-2XT22:35,MTHE ET MLLE,False,,date stamp,mediocre,True,1907.0,3.0,,FI-0970-0588,Meurthe-et-Moselle,
FI-0970-0589_cls1_0,,1908-12-28T12:XX,MTHE ET MLLE,False,,date stamp,mediocre,True,1908.0,12.0,28.0,FI-0970-0589,,
FI-0970-0189_cls1_0,,1910-03-28TXX:XX,MARNE,True,,date stamp,mediocre,False,1910.0,3.0,28.0,FI-0970-0189,,
FI-0970-0593_cls1_0,NANCY,1908-10-13T09:45,MTHE ET MLLE,False,,date stamp,good,False,1908.0,10.0,13.0,FI-0970-0593,Meurthe-et-Moselle,
FI-0970-0192_cls1_0,EPERNAY,1913-08-27T21:35,MARNE,False,,date stamp,mediocre,False,1913.0,8.0,27.0,FI-0970-0192,Marne,Épernay
FI-0970-0596_cls1_0,,XXXX-XX-XXT15:XX,,False,,date stamp,poor,False,,,,FI-0970-0596,,
FI-0970-0603_cls1_0,NANCY,1909-09-XXTX0:15,MTHE ET MLLE,False,,date stamp,mediocre,True,1909.0,9.0,,FI-0970-0603,Meurthe-et-Moselle,
FI-0970-0196_cls1_0,SOMPUIS,1905-09-X7TXX:XX,MARNE,False,,date stamp,mediocre,True,1905.0,9.0,,FI-0970-0196,Marne,Sompuis
FI-0970-0197_cls1_0,,1908-XX-XXTXX:XX,MARNE,False,,date stamp,poor,True,1908.0,,,FI-0970-0197,,
FI-0970-0606_cls1_0,NANCY,1912-08-30T22:10,MTHE ET MLLE,False,22,date stamp,poor,True,1912.0,8.0,30.0,FI-0970-0606,Meurthe-et-Moselle,
FI-0970-0607_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0607,,
FI-0970-0199_cls1_0,BUSSY-LETTREE,1913-03-07T14:35,MARNE,False,,date stamp,good,True,1913.0,3.0,7.0,FI-0970-0199,Marne,Bussy-Lettrée
FI-0970-0201_cls1_0,REIMS-DIEU-LUMIERE,1911-06-16T15:05,MARNE,False,,date stamp,mediocre,True,1911.0,6.0,16.0,FI-0970-0201,,
FI-0970-0611_cls1_0,NANCY-GARE,1910-XX-XXT22:XX,MTHE-ET-MLLE,False,,date stamp,mediocre,True,1910.0,,,FI-0970-0611,Meurthe-et-Moselle,
FI-0970-0614_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0614,,
FI-0970-0202_cls1_0,EPINAL,1905-XX-2XTXX:XX,VOSGES,False,,date stamp,mediocre,False,1905.0,,,FI-0970-0202,Vosges,Épinal
FI-0970-0205_cls1_0,MARGERIE HANCOURT,XXXX-XX-30TXX:XX,MARNE,False,,date stamp,mediocre,True,,,30.0,FI-0970-0205,Marne,Margerie-Hancourt
FI-0970-0616_cls1_0,NANCY-ENTREPOT,1917-04-26TXX:XX,MTHE ET MLLE,False,,date stamp,mediocre,False,1917.0,4.0,26.0,FI-0970-0616,Meurthe-et-Moselle,
FI-0970-0617_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,True,,,,FI-0970-0617,,
FI-0970-0208_cls1_0,EPERNAY,XXXX-XX-14T15:XX,MARNE,True,,date stamp,mediocre,False,,,14.0,FI-0970-0208,Marne,Épernay
FI-0970-0621_cls1_0,NANCY-GARE,XXXX-XX-XXTXX:XX,MTHE ET MLLE,False,,date stamp,poor,False,,,,FI-0970-0621,Meurthe-et-Moselle,
FI-0970-0623_cls1_0,NANCY,1905-10-29T12:55,MTHE ET MLLE,False,,date stamp,good,True,1905.0,10.0,29.0,FI-0970-0623,Meurthe-et-Moselle,
FI-0970-0625_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,True,,,,FI-0970-0625,,
FI-0970-0627_cls1_0,NANCY,1913-XX-08T06:XX,MTHE ET MLLE,False,,date stamp,mediocre,False,1913.0,,8.0,FI-0970-0627,Meurthe-et-Moselle,
FI-0970-0635_cls1_0,NANCY-GARE,1908-08-18TXX:20,MTHE ET MLLE,False,,date stamp,mediocre,True,1908.0,8.0,18.0,FI-0970-0635,Meurthe-et-Moselle,
FI-0970-0217_cls1_0,,XXXX-XX-XXTXX:XX,MEUSE,False,,date stamp,poor,False,,,,FI-0970-0217,,
FI-0970-0218_cls1_0,,190X-06-XXTXX:XX,MARNE,False,,hexagonal date stamp,mediocre,False,,6.0,,FI-0970-0218,,
FI-0970-0636_cls1_0,NANCY,19X1-07-31T12:50,MTHE ET MLLE,False,,date stamp,good,True,,7.0,31.0,FI-0970-0636,Meurthe-et-Moselle,
FI-0970-0637_cls1_0,NANCY,1906-12-20T08:45,MTHE ET MLLE,False,,date stamp,good,True,1906.0,12.0,20.0,FI-0970-0637,Meurthe-et-Moselle,
FI-0970-0220_cls1_0,MARNE,1912-07-14TXX:XX,MARNE,False,,date stamp,mediocre,False,1912.0,7.0,14.0,FI-0970-0220,,
FI-0970-0638_cls1_0,NANCY,1911-02-19T2X:10,MTHE ET MLLE,False,,date stamp,poor,True,1911.0,2.0,19.0,FI-0970-0638,Meurthe-et-Moselle,
FI-0970-0641_cls1_0,NANCY-ENTREPOT,1907-09-09TXX:XX,MTHE ET MLLE,False,4E,date stamp,good,True,1907.0,9.0,9.0,FI-0970-0641,Meurthe-et-Moselle,
FI-0970-0651_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0651,,
FI-0970-0226_cls1_0,,XXXX-XX-XXTXX:XX,MARNE,True,,date stamp,poor,False,,,,FI-0970-0226,,
FI-0970-0677_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,False,,,,FI-0970-0677,,
FI-0970-0230_cls1_0,VERDUN,XXXX-08-18T13:XX,MEUSE,True,,date stamp,mediocre,False,,8.0,18.0,FI-0970-0230,Meuse,Verdun
FI-0970-0717_cls1_0,GARE DE L'EST A NANCY,1913-03-30T22:10,,False,,conveyor line stamp,mediocre,False,1913.0,3.0,30.0,FI-0970-0717,,
FI-0970-0730_cls1_0,CHALONS S/ MARNE,1906-01-19T22:XX,,True,,date stamp,mediocre,True,1906.0,1.0,19.0,FI-0970-0730,Marne,
FI-0970-0234_cls1_0,EPERNAY,1913-08-25T22:35,MARNE,False,,date stamp,mediocre,False,1913.0,8.0,25.0,FI-0970-0234,Marne,Épernay
FI-0970-0731_cls1_0,,XXXX-XX-XXTXX:XX,,False,,,poor,True,,,,FI-0970-0731,,
FI-0970-0238_cls1_0,,XXXX-XX-XXTXX:XX,YVELINES,False,,date stamp,poor,False,,,,FI-0970-0238,,
FI-0970-0242_cls1_0,,1908-08-05T20:XX,MEUSE,True,,date stamp,mediocre,True,1908.0,8.0,5.0,FI-0970-0242,,
FI-0970-0243_cls1_0,,XXXX-XX-XXTXX:XX,MARNE,False,,date stamp,poor,False,,,,FI-0970-0243,,
FI-0970-0751_cls1_0,PARIS,1915-04-12T08:36,SEINE,False,,date stamp,mediocre,False,1915.0,4.0,12.0,FI-0970-0751,Paris,
FI-0970-0262_cls1_0,EPINAL,1908-08-15TXX:35,VOSGES,False,,date stamp,mediocre,False,1908.0,8.0,15.0,FI-0970-0262,Vosges,Épinal
FI-0970-0752_cls1_0,,XXXX-XX-XXTXX:XX,MTHE ET MLLE,False,6E,date stamp,poor,False,,,,FI-0970-0752,,
FI-0970-0761_cls1_0,,1907-08-2XT17:XX,,False,,date stamp,poor,True,1907.0,8.0,,FI-0970-0761,,
FI-0970-0765_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0765,,
FI-0970-0281_cls1_0,+ BOURG,1906-04-28T22:XX,VOSGES,True,,date stamp,mediocre,False,1906.0,4.0,28.0,FI-0970-0281,,
FI-0970-0765_cls1_1,,XXXX-XX-XXTXX:XX,,True,,date stamp,poor,False,,,,FI-0970-0765,,
FI-0970-0778_cls1_1,CHALO,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,True,,,,FI-0970-0778,,
FI-0970-0791_cls1_0,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,False,,,,FI-0970-0791,,
FI-0970-0294_cls1_0,,1908-06-14T10:X5,VOSGES,False,,date stamp,mediocre,True,1908.0,6.0,14.0,FI-0970-0294,,
FI-0970-0802_cls1_1,,XXXX-XX-XXTXX:XX,,False,,date stamp,poor,True,,,,FI-0970-0802,,
FI-0970-0301_cls1_0,RAMBERVILLERS,1912-09-12T16:15,VOSGES,False,,date stamp,mediocre,True,1912.0,9.0,12.0,FI-0970-0301,Vosges,Rambervillers
FI-0970-0311_cls1_0,VITRY LE FRANCOIS,1908-10-11T18:XX,MARNE,True,,date stamp,mediocre,False,1908.0,10.0,11.0,FI-0970-0311,Marne,Vitry-le-François
FI-0970-0816_cls1_0,,XXXX-XX-16T07:25,,False,,date stamp,poor,False,,,16.0,FI-0970-0816,,
